EDITOR_KEY,EDITOR_NAME,EDITOR_AUX,EDITOR_ORCID
conf/csedu/VodenskaCB12,Irena Vodenska,,
conf/csedu/VodenskaCB12,Lou Chitkushev,,
conf/csedu/VodenskaCB12,Leo Burstein,,
conf/sc/MarchioroM94,David M. Martin Jr.,,
conf/wm/RasMW05a,Andreas Abecker,,
conf/wm/RasMW05a,Ludger van Elst,,
conf/wm/RasMW05a,Steffen Staab,,
conf/pet/AlsaidM02,David M. Martin Jr.,,
conf/uss/MartinS02,David M. Martin Jr.,,
conf/trecvid/WilkinsBJLKMOOSATABDHMTSAPMKMSBCIGHSCSPHHHVPGJ08a,Stéphane Ayache,,
conf/trecvid/WilkinsBJLKMOOSATABDHMTSAPMKMSBCIGHSCSPHHHVPGJ08a,Georges Quénot,,
conf/hicss/X06d,Gail Corbitt,,
conf/hicss/X06d,Marinos Themistocleous,,0000-0002-6904-9692
conf/hicss/X06d,Zahir Irani,,0000-0002-6332-6118
conf/hicss/X06i,Marinos Themistocleous,,0000-0002-6904-9692
conf/hicss/X06i,Zahir Irani,,0000-0002-6332-6118